Stock,Symbol,Shares Held
Novo-nordisk a/s ads,NVO,18383971.0
Tesla inc,TSLA,1555375.0
Kroger co.,KR,16427510.0
Gilead sciences inc.,GILD,15492116.0
Verisign inc.,VRSN,4016590.0
Apple inc,AAPL,4504192.0
Advanced micro devices inc,AMD,7107290.0
Atlassian corp plc,TEAM,2643920.0
Zoom video communications inc,ZM,6449306.0
Amazon.com inc.,AMZN,4141100.0
Meta platforms inc,META,3001000.0
Hershey company (the),HSY,3060267.0
Moderna inc,MRNA,3818180.0
Franco-nevada corp,FNV,4073503.0
Alphabet inc. class a,GOOGL,227648.0
Mcdonalds corp.,MCD,2531400.0
Molina healthcare inc,MOH,1813615.0
Airbnb  inc.,ABNB,3403767.0
Home depot  inc. (the),HD,1882619.0
Monster beverage corp.,MNST,7028060.0
Verizon communications (bell atlantic corp.),VZ,10604493.0
Exxonmobil corp. (standard oil of new jersey),XOM,6444764.0
United therapeutics corp,UTHR,2765213.0
Abiomed inc,ABMD,1414200.0
Vodafone group plc sponsored adr,VOD,27537932.0
Vertex pharmaceuticals  inc.,VRTX,1707368.0
Glaxosmithkline plc adr,GSK,10011921.0
Colgate-palmolive co.,CL,5688786.0
Dominos pizza inc,DPZ,1040825.0
Merck & co,MRK,5099334.0
Wells fargo & co.  (northwest bancorporation),WFC,8390611.0
Exelixis inc,EXEL,16862278.0
Alphabet inc. class c,GOOG,134985.0
National grid plc adr,NGG,4874077.0
Incyte corporation,INCY,4697633.0
Abbott laboratories,ABT,3140866.0
Target corp.,TGT,1672320.0
Roku inc,ROKU,2808100.0
Pepsico inc. (loft  inc.),PEP,1958643.0
Lowes companies  inc.,LOW,1586400.0
Fortinet inc,FTNT,4688945.0
Alcoa corp,AA,3539596.0
Coca cola co.,KO,5052156.0
Pfizer  inc.,PFE,6011941.0
Icon plc ads,ICLR,1276958.0
Astrazeneca plc,AZN,4561828.0
General mills co.,GIS,4431688.0
Novartis ag ads,NVS,3381170.0
Zim integrated shipping services ltd,ZIM,4062538.0
Charter communications inc,CHTR,541400.0
Pinterest inc,PINS,11515600.0
Activision blizzard inc,ATVI,3515598.0
Bank of america corp. (north carolina national bank),BAC,6800366.0
Union pacific corp.,UNP,1018299.0
Qualcomm inc.,QCOM,1789760.0
F5 networks inc,FFIV,1256562.0
Cboe global markets inc,CBOE,2274724.0
Petroleo brasileiro sa (petrobras) adr,PBR,16782600.0
Philip morris international inc,PM,2632467.0
Herbalife nutrition ltd,HLF,8118864.0
Carrier global corp.,CARR,5306931.0
Danaher corp.,DHR,818436.0
Csx corp,CSX,6378400.0
Jazz pharmaceuticals plc,JAZZ,1517309.0
Procter & gamble co. (oh) (1905),PG,1505318.0
Barrick gold corp,GOLD,9355036.0
Comcast corp.  class a,CMCSA,4754976.0
Cerner corp.,CERN,2367304.0
Eqt corporation (equitable gas co.),EQT,6424264.0
Biogen inc,BIIB,1044207.0
Horizon therapeutics plc,HZNP,2025766.0
Roblox corp. class a,RBLX,4437282.0
3m co. (minnesota mining & manufacturing),MMM,1356600.0
Coinbase global inc,COIN,1052000.0
Altria group  inc. (philip morris),MO,3771516.0
Regeneron pharmaceuticals inc.,REGN,279862.0
Agnico-eagle mines  ltd,AEM,3177087.0
Bristol-myers squibb co,BMY,2633332.0
Twilio inc,TWLO,1163695.0
Dropbox inc,DBX,8209733.0
Mondelez international inc. (kraft foods),MDLZ,3035298.0
Starbucks corp.,SBUX,2091567.0
Sprouts farmers market inc,SFM,5898332.0
Clorox co.,CLX,1355130.0
Blackrock inc. class a,BLK,245400.0
First republic bank (ca),FRC,1151300.0
Duke energy corp.,DUK,1662282.0
Fortis inc,FTS,3674861.0
Linde plc (praxair inc.),LIN,558500.0
National beverage corp,FIZZ,4093544.0
Phillips 66,PSX,2053650.0
Snowflake  inc.,SNOW,770300.0
Corcept therapeutics inc,CORT,7770516.0
Zoetis  inc.,ZTS,922274.0
Virtu financial inc,VIRT,4632407.0
Palantir technologies inc.,PLTR,12514847.0
Air products & chemicals inc,APD,680700.0
Rogers communications inc. class b (nyse),RCI,2970869.0
Zscaler inc,ZS,697800.0
Keurig dr pepper inc,KDP,4430761.0
Agilent technologies inc,A,1242600.0
Lockheed martin corp.,LMT,369500.0
Cloudflare inc,NET,1339500.0
Ecolab inc.,ECL,904997.0
United parcel service  inc. class b,UPS,725500.0
Jpmorgan chase & co. (chemical bank),JPM,1140386.0
Visa inc,V,700100.0
Chunghwa telecom co. ltd adr,CHT,3491869.0
Quest diagnostics  inc.,DGX,1131900.0
Flowers foods,FLO,5999785.0
Abbvie inc,ABBV,923303.0
Newmont mining corp. (holding co.),NEM,1875675.0
Cable one inc,CABO,101700.0
Campbell soup co.,CPB,3306268.0
B2gold corp,BTG,32070755.0
Corvel corp.,CRVL,867510.0
Public storage  inc.,PSA,374314.0
Kinross gold corp. adr,KGC,24604758.0
Cogent communications group inc,CCOI,2164356.0
Allison transmission holdings inc,ALSN,3651319.0
New york times co. class a,NYT,3124642.0
Hormel foods corp.,HRL,2764663.0
Pacira biosciences inc,PCRX,1860997.0
P.t. telekomunikasi indonesia adr,TLK,4433614.0
Valero energy corp.,VLO,1374688.0
Shell plc,SHEL,2468486.0
Kkr & co. inc,KKR,2316350.0
Boeing company,BA,707200.0
Chevron corp. (standard oil of california),CVX,825820.0
Petroleo brasileiro sa petrobras class a adr,PBR.A,9539000.0
Wheaton precious metals corp,WPM,2787718.0
Firstservice corp,FSV,909980.0
Wec energy group (wisconsin electric power),WEC,1320077.0
Medifast inc,MED,771310.0
Smucker (j.m.) co.,SJM,953976.0
Alkermes plc.,ALKS,4868013.0
Nu skin enterprises inc. class a,NUS,2670996.0
Cheniere energy inc,LNG,917448.0
Ubiquiti inc,UI,426682.0
Commvault systems inc,CVLT,1823687.0
Cbre group inc common stock class a,CBRE,1320100.0
Oreilly automotive inc.,ORLY,176294.0
Neurocrine biosciences inc.,NBIX,1280123.0
Southern co.,SO,1651211.0
Itau unibnco adr,ITUB,20872374.0
Cosan sa,CSAN,5934882.0
Inmode ltd,INMD,3181662.0
Walmart inc,WMT,788552.0
Msci inc,MSCI,233021.0
Garmin ltd,GRMN,987042.0
Tjx companies inc.,TJX,1921900.0
Kellogg co.,K,1794111.0
Li auto inc. ads,LI,4473700.0
Coupa software inc,COUP,1128200.0
Nio inc,NIO,5401600.0
Gold fields ltd adr,GFI,7350784.0
Morningstar inc,MORN,415570.0
Usana health sciences inc.,USNA,1424263.0
Schlumberger ltd.,SLB,2736004.0
Docusign inc,DOCU,1042900.0
Tyson foods  inc.,TSN,1242457.0
Grupo aeroportuario del pacifico  s.a.b de c.v. adr,PAC,690400.0
Baxter international inc.,BAX,1434000.0
China petroleum & chemical corp. sponsored adr,SNP,2213544.0
